DATA,ID_PRODUTO,VALOR_VENDA,FAIXA_HORARIO
8/1/2021,6,"25,25",10:00
8/1/2021,3,"25,4",7:00
8/1/2021,13,"15,38",13:00
8/1/2021,5,"26,88",14:00
8/1/2021,6,"8,37",11:00
8/1/2021,7,"18,22",12:00
8/1/2021,9,"26,12",13:00
8/1/2021,10,"2,42",10:00
8/1/2021,7,"1,71",13:00
8/1/2021,4,"13,03",13:00
8/1/2021,3,"20,72",14:00
8/1/2021,5,"22,33",9:00
8/1/2021,13,"23,05",14:00
8/1/2021,8,"11,65",11:00
8/1/2021,5,"20,34",10:00
8/1/2021,6,"24,48",13:00
8/1/2021,11,"5,96",12:00
8/1/2021,3,"7,22",14:00
8/1/2021,6,"8,6",7:00
8/1/2021,2,"4,63",14:00
8/1/2021,3,"29,65",7:00
8/1/2021,1,"26,33",13:00
8/1/2021,6,"13,76",8:00
8/1/2021,7,"28,8",14:00
8/1/2021,6,"7,76",10:00
8/1/2021,3,"11,79",11:00
8/1/2021,7,"7,24",12:00
8/1/2021,3,"21,9",12:00
8/1/2021,5,"29,73",12:00
8/1/2021,8,"26,39",7:00
8/1/2021,9,"7,22",7:00
8/1/2021,11,"4,61",13:00
8/1/2021,6,"5,43",9:00
8/1/2021,11,"6,48",14:00
8/1/2021,5,"22,68",10:00
8/1/2021,3,"4,97",14:00
8/1/2021,4,"14,05",7:00
8/1/2021,7,"2,79",9:00
8/1/2021,2,"17,22",14:00
8/1/2021,3,"27,74",11:00
8/1/2021,5,"2,69",14:00
8/1/2021,6,"16,22",9:00
8/1/2021,3,"7,82",13:00
8/1/2021,12,"27,19",13:00
8/1/2021,12,"12,74",7:00
8/1/2021,5,"18,38",11:00
8/1/2021,3,"24,88",12:00
8/1/2021,1,"19,79",14:00
8/1/2021,8,"11,93",7:00
8/1/2021,14,"28,19",9:00
8/1/2021,3,"23,95",12:00
8/1/2021,8,"17,06",8:00
8/1/2021,3,"12,51",12:00
8/1/2021,12,"15,83",12:00
8/1/2021,2,"15,41",8:00
8/1/2021,5,"10,7",13:00
8/1/2021,7,"24,76",7:00
8/1/2021,7,"24,75",7:00
8/1/2021,7,"17,31",9:00
8/1/2021,10,"18,87",9:00
8/1/2021,6,"10,55",14:00
8/1/2021,5,"11,06",12:00
8/1/2021,4,"15,94",9:00
8/1/2021,2,"11,33",7:00
8/1/2021,7,"29,17",10:00
8/1/2021,12,"8,93",14:00
8/1/2021,11,"4,31",7:00
8/1/2021,6,"16,32",12:00
8/1/2021,11,"11,48",10:00
8/1/2021,10,"25,06",11:00
8/1/2021,1,"6,18",14:00
8/1/2021,2,"25,86",10:00
8/1/2021,4,"2,82",9:00
8/1/2021,4,"3,83",11:00
8/1/2021,14,"27,84",9:00
8/1/2021,12,"4,89",14:00
8/1/2021,8,"23,8",8:00
8/1/2021,4,"17,92",8:00
8/1/2021,2,"8,95",11:00
8/1/2021,7,"2,86",14:00
8/1/2021,5,"7,6",14:00
8/1/2021,3,"17,26",11:00
8/1/2021,7,"6,74",9:00
8/1/2021,6,"2,18",13:00
8/1/2021,5,"28,04",8:00
8/1/2021,4,"10,77",10:00
8/1/2021,8,"25,72",10:00
8/1/2021,2,"5,78",11:00
8/1/2021,8,"26,68",13:00
8/1/2021,10,"7,42",11:00
8/1/2021,4,"29,41",10:00
8/1/2021,7,"12,53",13:00
8/1/2021,5,"25,71",11:00
8/1/2021,3,"29,56",10:00
8/1/2021,10,"24,1",13:00
8/2/2021,2,"12,26",13:00
8/2/2021,13,"4,1",13:00
8/2/2021,12,"18,84",8:00
8/2/2021,5,"24,61",11:00
8/2/2021,10,"25,47",7:00
8/2/2021,8,"11,03",14:00
8/2/2021,6,"19,49",9:00
8/2/2021,7,"18,39",13:00
8/2/2021,5,"26,82",8:00
8/2/2021,2,"9,34",11:00
8/2/2021,4,"6,8",13:00
8/2/2021,1,"12,34",14:00
8/2/2021,5,"22,09",8:00
8/2/2021,1,"28,37",7:00
8/2/2021,2,"13,95",13:00
8/2/2021,6,"24,62",11:00
8/2/2021,11,"18,88",7:00
8/2/2021,3,"28,57",12:00
8/2/2021,5,"13,45",11:00
8/2/2021,6,"7,28",12:00
8/2/2021,4,"16,34",13:00
8/2/2021,7,"20,31",13:00
8/2/2021,5,"4,78",14:00
8/2/2021,5,"5,53",13:00
8/2/2021,4,"8,94",10:00
8/2/2021,1,"18,49",9:00
8/2/2021,3,"24,87",7:00
8/2/2021,6,"8,92",11:00
8/2/2021,3,"20,17",13:00
8/2/2021,6,"4,05",8:00
8/2/2021,4,"17,67",11:00
8/2/2021,14,"4,87",14:00
8/2/2021,7,"23,74",13:00
8/2/2021,10,"18,19",12:00
8/2/2021,5,"21,57",9:00
8/2/2021,7,"17,08",12:00
8/2/2021,12,"17,95",13:00
8/2/2021,4,"28,27",8:00
8/2/2021,4,"21,53",13:00
8/2/2021,2,"3,85",9:00
8/2/2021,6,"26,61",9:00
8/2/2021,9,"25,04",11:00
8/2/2021,1,"3,27",14:00
8/2/2021,11,"23,89",13:00
8/2/2021,14,"11,91",9:00
8/2/2021,10,"21,58",13:00
8/2/2021,5,"16,78",14:00
8/2/2021,7,"25,03",11:00
8/2/2021,5,"25,83",13:00
8/2/2021,6,"2,31",11:00
8/2/2021,13,"13,09",10:00
8/2/2021,13,"22,26",14:00
8/2/2021,4,"10,9",14:00
8/2/2021,6,"10,95",7:00
8/2/2021,1,"17,18",13:00
8/2/2021,2,"15,77",13:00
8/2/2021,4,"10,03",13:00
8/2/2021,10,"16,23",11:00
8/2/2021,8,"18,32",13:00
8/2/2021,8,"6,47",11:00
8/2/2021,2,"28,82",11:00
8/2/2021,7,"11,94",10:00
8/2/2021,4,"24,35",13:00
8/2/2021,6,"28,46",12:00
8/2/2021,10,"13,89",13:00
8/2/2021,7,"18,48",13:00
8/2/2021,1,"12,94",10:00
8/2/2021,4,"11,44",11:00
8/2/2021,1,"14,75",11:00
8/2/2021,4,"13,16",9:00
8/2/2021,12,"15,58",10:00
8/2/2021,4,"29,74",11:00
8/2/2021,7,"8,44",13:00
8/2/2021,7,"23,22",9:00
8/2/2021,5,"5,03",12:00
8/2/2021,5,"1,68",7:00
8/2/2021,3,"29,78",13:00
8/2/2021,2,"2,01",9:00
8/2/2021,4,"26,71",12:00
8/2/2021,12,"3,6",7:00
8/2/2021,6,"13,56",14:00
8/2/2021,10,"12,04",7:00
8/2/2021,6,"25,33",11:00
8/2/2021,5,"16,93",14:00
8/2/2021,4,"19,01",14:00
8/2/2021,4,"3,03",13:00
8/2/2021,7,18,11:00
8/2/2021,5,"27,18",11:00
8/2/2021,1,"14,52",13:00
8/2/2021,5,"27,9",13:00
8/2/2021,4,"13,75",14:00
